pid_long,_id,id,cm_id,building_typology,building_subtypology,use_class,sqft_class,year_built_class,st_num,st_name,st_name_suf,unit_num,zipcode,yr_built,land_sf,gross_area,living_area,sqft,num_floors,num_bldgs,units_res,units_com,units_mixed,ptype,ptype_list,lu,lu_list,assessor_category,assessor_description,own_occ,own_occ_list,owner_list,structure_class,structure_class_list,historic_district,landmark,flood,stormwater,census_tract_number,ct_pop_disability,ct_pop_children_under_5,ct_pop_over_65,ct_pop_low_to_no_income,ct_pop_limited_english_proficiency,ct_pop_poc,ct_pop_med_illness,ct_perc_disability,ct_perc_children_under_5,ct_perc_over_65,ct_perc_low_to_no_income,ct_perc_limited_english_proficiency,ct_perc_poc,ct_perc_med_illness,ct_hh_income_200000_or_more,ct_perc_income_200000_or_more,cashp_only,cashp_and_elec_upgrade,cashp_outdoor,dashp_only,dashp_and_elec_upgrade,dashp_outdoor,gshp_only,gshp_and_elec_upgrade,vrf_only,vrf_and_elec_upgrade,awhp_only,awhp_and_elec_upgrade,hp_recommendation_count,insulate_attic,insulate_attic_converted,ext_roof_insulation,insulate_exposed_ducts,insulate_exposed_pipes,interior_wall_insulation_blow_in,exterior_wall_insulation_at_replacement,exterior_wall_insulation,interior_wall_insulation_board,insulate_spandrel,asbestos,seal_elevator_vent_shafts,env_recommendation_count,lat,lon,MAILING_NEIGHBORHOOD,ZIP_CODE,coordinate,full_address,name,latitude,longitude
2200577000,4,94001,,Convention/Assembly,"Convention/Assembly, 1950-1979",Public & Quasi-Public,"< 25,000 sqft",1950-1979,525,WESTERN,AV,,2135.0,1970.0,3948992,7600.0,3800.0,7600.0,1.0,1.0,,,,941,941,E,E,Exempt Property Type,Auditorium / Theater,N,N,COMMONWEALTH OF MASSCHUSETTS,C,C,f,t,t,t,,,,,,,,,,,,,,,,,,f,f,f,f,f,f,f,f,f,f,f,f,0,f,f,f,f,f,f,f,f,f,f,f,f,0,42.36672373,-71.13357745,Brighton,2135.0,"42.3667237270173, -71.1335774490846","1071 Soldiers Field Rd, Brighton, MA 02135",,42.3667237270173,-71.1335774490846
504175000,72,95953,,Vacant,Vacant,Vacant,,,   ,BEACON,ST,,2215.0,,4099934,0.0,0.0,0.0,1.0,1.0,,,,986,986,E,E,Exempt Property Type,Vacant Land,N,N,CITY OF BOSTON,C,C,f,t,f,t,25025981800.0,0.0,0.0,8.0,0.0,8.0,11.0,43.24,0.0,0.0,9.756097561,0.0,9.756097561,13.41463415,52.73170732,6.0,60.0,f,f,f,f,f,f,f,f,f,f,f,f,0,f,f,f,f,f,f,f,f,f,f,f,f,0,42.34344867,-71.09320166,Boston,2215.0,"42.3434486708812, -71.093201664528","50 Park Dr, Boston, MA 02215",,42.3434486708812,-71.093201664528
304832020,113,29953,304832020.0,Multi-Family (>= 100 units),"Multi-Family (>= 100 units), 1980-present",Residential,">= 100,000 sqft",1980-present,,,,,,2000.0,269337,232116.0,232116.0,232116.0,39.0,,132.0,0.0,0.0,102,"102,995",CD,"CD,CM",Residential Property,Residential Condo,N,"N,Y","24D AVERY LLC,500 ATLANTIC NO 15J REALTY,ABENDROTH WILLIAM W,ABUKHADRA HAZEM,AGRAWAL NEERAJ,AGUIAR EDGAR J,AL-SAUD FAISAL,AL-SAUD SAUD,ALEXANDER L DOGON TRUST,ALISA REALTY LLC,ALKHADRA AYMAN,ALOBAID YOUSEF J,ASNC PROPERTIES LLC,ASPIRE GLOBAL INVESTMENT LLC,AVERY PH1A NOMINEE TRUST,BACHOVCHIN WILLIAM W,BACIAGALUPPI CLAUDIA,BASS MICHAEL A TS,BEHAR MARJA,BESCIU PATRICIA,BHAWAN JAG TS,BOLAND GILES W L TS,BOROM LISA MOFFETT,CANHA JANELL,CAPITAL FUND TRUST,CHAN CHI KWONG ,CHI DOW-CHUNG,CHINAMERRY GROUP LTD,CHUBB KATHLEEN A,CITRADEWI JOY,COLLINS KATHERINE,COMERICA BANK & TRUST, N.A.,CULTICE WENDY J,DANA DURRELL WIEHL REVOCABLE,DAVISON LYNNE,DIMATTEO DAVID,DOW BRIAN R,DUNN CHRISTINE M,EAGLE NATHAN,ENTINE ELISA TS,EREN PROPERTY SA,ESSELMAN THOMAS C TS,FACTOR SAUL,FARREY JOHANNAH E,FINKELSTEIN ARTHUR R,FITZGERALD WILLIAM,GHASSAN S SALAMEH REVOCABLE,GIBLIN THOMAS A,GOEL DINESH K,GRAY ROBERT JOHN,GRUPO INMOBOLIARIO CORDO-MIL,GUNARDI JULIO TESHA,HANCOCK JASON C WOODING,HARTSTONE ALLISON LB,HAUSER DAVID TS,HAUSMAN JERRY A,HILLER ARTHUR J,HOWLAND N LYLE,HWANG TEH-HWA,INDYK PIOTR,ITZKAN IRVING TS,JEAN-BAPTISTE AND,JEN PROPERTIES LTD,JING LEI,JL GRACE PROPERTY CORP,KANAK DONALD PERRY,KANE STEVEN,KAYFAN LLC,KEEFE ROBERT D,KLEIN VIVIANE SOPHIE,KOURTIDIS CHRISTOS,LAINER BORIS,LAMA LLC,LEE PATRICK A T,LEONARD EDRICK,LEONG HARVEY,LEVY STUART B,LUI KENNY SHUN-YAN,LURIA ELI TS,MAINO GULIANO,MAISTER DAVID,MANJU WADHWA LIVING TRUST,MARSH MARGARETTA G TS,MARSHALL JAMES E,MCDERMOTT CAITLIN,MEE MICHAEL F,MENDOTA LLC,MENTAKIS MICHAEL J,MILLENIUM PLACE NORTH ,MILLENNIUM 10D REALTY TRUST,MILLER BARBARA,MOURMOUTIS VASILIOS,NINA CLAIRE FAIRBAIRN,NINETY-92 ENDICOTT ST LLC,PAVLOVA ELENA NIKOLAEVNA,PH2B LLC,PRABHU ABHIJIT,PREMIER B V I INVESTMENTS,QUIRK FRANCIS X,RIMAWI LAMA,RITZ 24B INC,SABRR GROUP LLC,SAHANA LLC,SCALLEN JULIE A,SCERBO RICHARD A,SCHOLZ FRANCIS J,SHAYAKHMETOV SAKEN,SHEY VALERIE J,SHUE CHIKONG,SHUTZER WILLIAM A,SIVERSTEIN DAVID W,STAHL SUE TS,STEIN DEBORAH S,STOLL JAMES,STRIK NATHAN J,TOPAZ LLC,TOSH KAREN,UNIT 17D LLC,UPPOT RAUL N,USEN VIRGINIA C,VALENTIN GAPONTSEV REVOCABLE,VARTANOV RAPHAEL V,VINEYARD BLUES NOMINEE,WEBER GRIFFIN TS,WILKS LIMITED PARTNERSHIP,WMLZ HOLDINGS LLC,WONDERMERE ASSET LIMITED,XU JINWEN,YU JANE,YZ RIVER LLC",,,f,t,f,f,25025070101.0,457.0,465.0,812.0,1253.0,2065.0,2378.0,2397.59,7.743137919,7.878685191,13.75804812,21.23009149,34.98813961,40.29142664,40.62334802,763.0,23.96356784,f,f,f,f,f,f,f,f,f,f,f,f,0,f,f,t,f,f,f,f,f,f,t,f,t,3,,,,,"42.353755715009, -71.0628602711647","1 Avery  ST, Boston, MA 02111",Ritz-Carlton Boston Residences,42.353755715009,-71.0628602711647
304832010,125,27283,304832010.0,Residential (Mixed-Use),"Residential (Mixed-Use), 1980-present",Residential (Mixed-Use),,1980-present,,,,,,2000.0,38133,0.0,0.0,,39.0,,132.0,2.0,0.0,995,995,CM,CM,Exempt Property Type,Condo Main,N,N,MILLENNIUM PLACE PRIMARY,A,A,f,t,f,f,25025070101.0,457.0,465.0,812.0,1253.0,2065.0,2378.0,2397.59,7.743137919,7.878685191,13.75804812,21.23009149,34.98813961,40.29142664,40.62334802,763.0,23.96356784,f,f,f,f,f,f,f,f,f,f,f,f,0,f,f,f,f,f,f,f,f,f,t,f,t,2,42.35346667,-71.06285259,Boston,2111.0,"42.3534666720682, -71.0628525914593","1 Avery St #16E, Boston, MA 02111",,42.3534666720682,-71.0628525914593
304965010,130,62278,304965010.0,Single-Family,"Single-Family, 1980-present",Residential,,1980-present,,,,,,2006.0,40996,0.0,0.0,,28.0,,1.0,0.0,0.0,995,995,CM,CM,Exempt Property Type,Condo Main,N,N,ARCHSTONE BOSTON COMMON,A,A,f,t,t,f,25025070101.0,457.0,465.0,812.0,1253.0,2065.0,2378.0,2397.59,7.743137919,7.878685191,13.75804812,21.23009149,34.98813961,40.29142664,40.62334802,763.0,23.96356784,f,f,f,f,f,f,f,f,f,f,f,f,0,f,f,f,f,f,f,f,f,f,t,f,t,2,42.35186867,-71.06243059,Boston,2111.0,"42.3518686717103, -71.0624305914204","660 Washington St #7F, Boston, MA 02111",,42.3518686717103,-71.0624305914204
304590010,133,90965,304590010.0,Residential (Mixed-Use),"Residential (Mixed-Use), 1980-present",Residential (Mixed-Use),">= 100,000 sqft",1980-present,,,,,,2016.0,711860,681891.0,681891.0,681891.0,60.0,,442.0,1.0,0.0,102,"102,995",CD,"CD,CM",Residential Property,Residential Condo,N,"N,Y","1 FRANKLIN 2810 LLC,1 FRANKLIN 3803 LLC,1 FRANKLIN 3902 LLC,1108 REALTY VENTURES LLC,1203 MILLENNIUM TOWER LLC,15 LINDEN LLC,1818 LLC,2503 MILLENNIUM TOWERS TRUST,2601 MILLENNIUM TOWERS LLC,2701 MILLENNIUM TOWERS LLC,3205 MILLENNIUM TOWERS,5501 MILLENNIUM REALTY TRUST,ABOU-JAMRA HODA J,ABUSHAAR FAHED,ACCARDI TRACY C,AFRAH HOLDING INC,AGGANIS GREGORY,AGGANIS MADELINE,AGGANIS MICHAEL,AHUJA NUTAN,AIRD CARLTON,AKRON REALTY TRUST,AL ZUBAIR NOOR,ALESAYI AHMED SALEH AHMED,ALEXIA DOROZYNSKI 2015,ALLARD WILLIAM J,ARCARI GIUSEPPE A,ARCHAMBO WAYNE,ASHE JONATHAN,ATINA INVESTMENTS CORP,ATTAR GHASSAN,AUYEUNG KRIS L,BADGER MATTHEW W,BAHNKEN JOHN,BCB REVOCABLE TRUST,BENITEZ MAYELA,BENSON JAMES M,BESSIM SIBEL,BEST FORTUNE FAMILY LIMITED,BHAWAN REALTY TRUST,BIAN HONG,BILLECART TRUST,BOFISE GIOVANNI,BORDEN ALEXANDRA,BOSTON GLOBAL FORTUNE LLC,BOSTON GLOBAL VICTORY LLC,BOSTON MILLENNIUM LLC,BOSTON PROPERTY 3 LLC,BREENE FRANCESCA,BRISTOL MILLENIUM 1507 LLC,BRISTOL MILLENIUM 1707 LLC,CAI XINGYAN,CAL BRIONESVIEW LLC,CAPITAL FUND TRUST,CARDINAL MATTHEW H,CARVELLI DAVID J,CHACHARONE JAMES,CHAHAL RAJAN,CHAHINE CHADI,CHALKLIN PATRICIA,CHAN LINCOLN WING FUNG,CHAN PATRICK K,CHANG BRIAN Y,CHANG HWA-PING,CHANG RAYMOND,CHAPMAN SUZANNE,CHARTOFF HALEY J,CHEN ALAN KUO,CHEN CATHERINE,CHEN JINYA,CHEN KAILI,CHEN KUO-HAO,CHEN PING,CHEN XIAOLI,CHEN ZHIKAI,CHIANG HSING-CHIANG,CHIANG TIEN-HON,CHIM SHUK FAN SOPHIE,CHING ANNA WONG YEE,CHU HAN CHANG,CHUNG PAN LI,CHUTICHETPONG SETHANAN,COMPASSION HMK LLC,CONROY CHARLES,CONTI ANTHONY,COOLIDGE ALISON R,CORKIN DOREEN DONOVAN,CRSPRS LLC,CUSHING PAMELA,CUTTER PATRICK,DACOKASO LLC,DAHIA REAL ESTATE HOLDING,DAMIAN CHRISTOPHER J,DAVIS DEBRA M,DAYAL MADHUKAR,DENG DONG,DIMITRUK PAUL A,DONG RUI,DOW BRIAN,EAST PROPERTY 1 LLC,EGHOLM MICHAEL,ELENKO ERIC,EYAD MAYANI REVOCABLE TRUST,EYUBOGLU CENK,FAN JEH-SHEN,FANG I-CHUN,FANG ZHIGUANG,FEIHA REAL ESTATE HOLDING,FESTA JOHN R,FILMORE FARM LIMITED LLC,FLANAGAN PAUL C,FLOHR JAN KRISTER,FOULKES CATHERINE,FRANKLIN 1007 REALTY NOMINEE,FRANKLIN REALTY NOMINEE,FREED JARED D,GA & GO LLC,GAO ALLAN HONG,GARD HOLDINGS LLC,GARDNER APRIL I,GE FENG,GILL RICHARD J,GIOVANNIELLO ANTHONY,GOLDMAN DARCY,GONG SERENA,GONG YI,GOODMAN GERRI L,GREAT ILLUMINATION LLC,GUTHRIE BRIAN,HAKEEM LOAI,HALIM SOFIAN,HAN SONG,HANSARD ADAM,HARMEL SHARRI A,HAWKINS DEBORAH,HELENA H GENG LIVING TRUST,HELIAN YIZHOU,HILBERG ERIC,HILLYER KULDIP,HOJMAN HORACIO B,HONG FRANK,HSU HAN-FEI,HU ANNA,HU HONG,HUANG CHIEN-I,HUANG GANG,HUANG JING,HUANG SHU-L,IAFRATI MARK,IAPPINI JOHN,ILES FAMILY 2008 REVOCABLE,JACOBS ROBERT,JADBABAIE ALI,JAJ NOMINEE TRUST,JEFFREY AND ALAYNE SHAPIRO,JIN JIANDONG,JINDAL SHIKHA,JOANNE HIDAKA 2012 REVOCABLE,JOFFE MAURICE P,JONATHAN QUOC TRAN REVOCABLE,K GRAHAME WALKER REVOCABLE,KAMMOURIA MAHER,KANBAR KINAN M,KAO SHIH-HUI,KAPOOR SANJAY,KATSMAN ROZA,KATSMAN ROZA B,KDFRANKLIN U00 LLC,KDFRANKLIN U01 LLC,KDFRANKLIN U02 LLC,KEEGAN HARRY,KESSARAM SUSAN,KILDA LLC,KMAN ONE FRANKLIN LLC,KUSUMA ALEXANDER HALIM,LADNY JOERG,LAHOUD-RAHME MANUELLA,LAI HSIN-NUAN,LAI LEEFIN,LAM FONG FONG,LAMB J DAYNE,LEE ANTHONY,LEE CELIA,LEE JARONE,LEE PHILIP,LEE YIH YING,LEGAME DUPLICE LLC,LEMAITRE GEORGE W,LENNON EDWARD,LI BO,LI DAN,LI JESSICA,LI PANG-CHU,LI QI,LI XIABIN,LIN HELEN,LIN XIN WEI,LIN YING-LU,LIN YU-YIN,LITTLEHALE STEVEN,LIU SAI KEUNG THOMAS,LIU WEI,LIU YONGCHEN,LLAO LLAO INVESTMENTS LLC,LO CHIH-HUA,LOREN ALLAN,LOTFI MOSTAFA,LU JIANGHONG,LU XINXIA,LUO PAN BOSTON LLC,LUO WEI HUA,LYNCH JOHN J JR,M&H REALTY TRUST,M6 MILLENNIUM REALTY TRUST,MA DANNI,MA KWAN TAI,MAK CHI CHIU MATTHEW,MAK YUET LAI YVONNE,MAKADI MILLENNIUM LLC,MALEK JUMAID,MAN MO AH,MANDATO FAMILY TRUST,MANOLOVA-SENCHAK RUMENA,MARCIANO JAMES A,MARTIN PATRICK MACDONNELL,MASS INVESTMENT PROPERTY 1,MASSABNI EDMOND,MCDONALD STEVEN F,MCKENZIE TIM E,MECKLEY CHERI,MGMV LLC,MILLENIUM DREAM LLC,MILLENIUM TOWER UNIT 2408,MILLENNIUM 3105 REALTY,MILLENNIUM BOSTON REALTY,MILLENNIUM DREAM LLC,MILLENNIUM HERITAGE LLC,MILLENNIUM LAND LLC,MILLENNIUM TOWER REALTY TRUS,MILLENNIUM TOWER TRUST,     ,MILLENNIUM TOWER UNIT 1406,MILLIE 2705 LLC,MILLTOWER 1905 LLC,MILLTOWER 4008 LLC,MILLTOWER 4207 LLC,MMRMTB LLC,MOHAGHEGH HAMID,MP-U501 LLC,MP FRANKLIN RESIDENTIAL CO,MP MTB UNITS LLC,MT 4202 LLC,MT 5101 LLC,MT 5201 LLC,MT CITYVIEW LLC,MT PH4B LLC,MT PH4D REALTY TRUST,MT UNIT 3804 NOMINEE REALTY,MT UNIT 5006 NOMINEE REAL,MUELLER MARK,MUNYON CHRISTOPHER D,NABHAN SAID,NANCY I BRENNER WLUKA 2013,NEPTUNE 1612 REALTY TRUST,NOSSEIR TAMARA,OFFENSEND DAVID G,OKAYEV YERMEK,OLSHAKER JONATHAN,ONE FRANKLIKN STREET 2003,ONE FRANKLIN STREET PH3B,ORIPOVA SURAYYOKHON,ORNSKOV FLEMMING,OSOUL HOLDING DE II INC,OSOUL HOLDING DE III INC,PAEZ DAVID,PAINTAL LIVING TRUST,PAMELA MALKANI REVOCABLE,PAN NELSON,PAN ZHIYONG,PANDJI HOOVER,PAPACHRISTOS IRAKLIS N,PAPAZIAN TIGRAN,PARANKEWICH STEVEN,PARATOPE LLC,PARK WON,PARKER JOHN,PAUL STEVEN MARC,PHILIP H LOVETT GST EXEMPT,PHITAYAKORN CHET,PIXLEY JEFFREY,POPAT NARENDRA,PROPERTY ASSOCIATES 3810 LLC,PROSPEROUS LAND LLC,PROWSE CLAUDINE N,PUNJABI TONY T,QIAN BING ZHEN,QIAN ZHIQIN BE,R&R CAPITAL INVESTMENTS LLC,RAO REALTY TRUST,RATTS VALERIE S,REBELLO LISA M,REICIN ALISE S,REN TELAI,RIBLET GORDON,RICHMAN TIGER LLC-A,RMAJ BOSTON LLC,ROBERT PORTER AND AURORA,ROBICHAUD ALBERT J,ROHIT GUPTA REVOCABLE TRUST,ROMBULT PETER A,ROSE MANUEL S,ROSENBLUM LAWRENCE M,ROSSETTI CHARLES P,SAADAT TRUST OF 1997,SALEM KARIM,SAMGEN LLC,SCHIFFMANN JOHN R,SEBAOUN JEAN-DAVID M,SENCHAK ANDREW,SESHADRI PARTHA SARATHY,SHANIA HOLDINGS CO LLC,SHEBANI ALI,SHEFFER SUSAN,SHIPYARD PIRO LLC,SILBERSTEIN LESLIE,SILVA SINTHIA MARTINS,SINHA VIKAS,SJKS LLC,SKYLAND HOLDINGS LLC,SNAP HOLDINGS LLC,SO SHUK CHING,SONG SHIMIN,STANKOVIC SRDJAN,STRATEGIC DRAGON GLOBAL,SUN JIAN DONG,SUN JING YING,SUN YI XUE,SUNSHINE REVOCABLE NOMINEE,SYDNEY ROBERTA,TAN WEI LEN,TANG QIU FANG,TAO WENG,TATELBAUM JOSEF,TAYLOR ROBERT MICHAEL,TEVYE LLC,TIAN LIANG,TILTON AMA REALTY VENTURES,TKEBUCHAVA TEYMURAZ,TOWER PROPERTIES LLC,TOWER REALTY 3107 LLC,TOWER REALTY 3508 LLC,TRUST AGREEMENT OF,TWEARIE BHARAT RAMLOCHAN W,U TRUST,URELL DAVID,VAMOOSE REALTY TRUST,VENKAYYA RAJEEV,WAN HO HEI JAMES,WANG CHENCHEN,WANG FAMILY TRUST,WANG KAIYUAN,WANG WENBO,WANG YING HUI,WANG YU CI,WASHINGTON MILLENNIUM LLC,WEISMAN HOWARD J,WESLEY AND KERSTEN KREMER,WONG MARIA,WONG SAN KUEN,WONG WAI KAI GRACE,WU KAREN JANE,WU PO-HSI,WU YU-WEN,WU ZHIXIN,XIAO DI,XIAOJING LI,XIE CHRISTIE Y,XU WEIJUN,YANG KO-LI,YANG LIYU,YANG ZHEREN,YANG ZHONG,YAO CARL,YATATA ONE LLC,YATATA TWO LLC,YE XIAO HUI,YE YIBEN,YEE BAO MIN,YIN JINCHAO,YIU WAI YEE,YOUNES JACQUELINE,YU HSIEN-PIN,YU JING,YU LIWEI,YUAN YIMING,YUEN ZHI HUA CLARA,YUH SHANG-JUNG,ZEINA SAHLOUL 2017 FAMILY,ZENG ZHIBIN,ZHANG XIRU,ZHANG YI,ZHENG HANG,ZHONG JUSTIN REN,ZRH REALTY TRUST,ZUO JIAN CHENG,ZUO MINGZHI",A,A,f,t,f,f,25025070101.0,457.0,465.0,812.0,1253.0,2065.0,2378.0,2397.59,7.743137919,7.878685191,13.75804812,21.23009149,34.98813961,40.29142664,40.62334802,763.0,23.96356784,f,f,f,f,f,f,f,f,f,f,f,f,0,f,f,f,f,f,f,f,f,f,t,f,t,2,42.35578524,-71.05952617,Boston,2110.0,"42.3557852400473, -71.0595261657478","1 Franklin St #1111, Boston, MA 02110",,42.3557852400473,-71.0595261657478
303822110,159,1520,303822110.0,Multi-Family (31-99 units),"Multi-Family (31-99 units), 1980-present",Residential,"35,000-49,999 sqft",1980-present,,,,,,1999.0,66306,43457.0,43457.0,43457.0,23.0,1.0,85.0,0.0,0.0,903,"903,985,995",E,"CM,E",Exempt Ownership,Bost Redevelop Auth,N,N,"BRADLEY C STEPHEN MANAGER,MARRIOTT OWNERSHIP RESORTS",,,f,t,t,f,25025030300.0,678.0,310.0,1001.0,831.0,1832.0,884.0,2185.21,13.91625616,6.362889984,20.54597701,17.05665025,37.60262726,18.14449918,44.852422,631.0,24.10236822,f,f,f,f,f,f,f,f,f,f,f,f,0,f,f,t,t,f,f,f,f,f,f,f,t,3,42.35894367,-71.05351859,Boston,2109.0,"42.3589436732567, -71.0535185888207","1 McKinley Sq, Boston, MA 02109",,42.3589436732567,-71.0535185888207
1002149000,171,4303,,Multi-Family (>= 100 units),"Multi-Family (>= 100 units), 1950-1979",Residential,">= 100,000 sqft",1950-1979,111,PERKINS,ST,,2130.0,1964.0,174782,445701.0,398510.0,398510.0,29.0,1.0,273.0,,,13,13,RC,RC,Multiple Use Property,Res/Commercial Use,N,N,JAMAICAWAY TOWER & TOWNHOUSE,B,B,f,t,f,f,25025120700.0,179.0,173.0,239.0,410.0,649.0,747.0,830.1,8.887785501,8.589870904,11.86693148,20.35749752,32.224429,37.09036743,41.21648461,104.0,9.558823529,f,f,f,f,f,f,f,f,f,f,f,f,0,f,f,t,f,f,f,f,f,f,f,f,t,2,42.32250872,-71.11610641,Jamaica Plain,2130.0,"42.3225087216161, -71.1161064060035","111 Perkins St #164, Jamaica Plain, MA 02130",,42.3225087216161,-71.1161064060035
1000319010,175,4439,1000319010.0,Residential (Mixed-Use),"Residential (Mixed-Use), 1980-present",Residential (Mixed-Use),,1980-present,,,,,,2015.0,48640,0.0,0.0,,11.0,,85.0,2.0,0.0,995,995,CM,CM,Exempt Property Type,Condo Main,N,N,RIVERWAY MOSAIC PRIMARY,A,A,f,t,f,t,25025081001.0,857.0,603.0,556.0,2718.0,3274.0,2710.0,1884.55,17.52556237,12.33128834,11.37014315,55.58282209,66.95296524,55.4192229,38.53885481,47.0,2.188081937,f,f,f,f,f,f,f,f,f,f,f,f,0,f,f,f,f,f,f,f,f,f,f,f,t,1,42.33614024,-71.10950898,Boston,2115.0,"42.3361402431281, -71.1095089759468","80 Fenwood Rd #816, Boston, MA 02115",,42.3361402431281,-71.1095089759468
303823000,183,71547,,Multi-Family (31-99 units),"Multi-Family (31-99 units), Pre-1915",Residential,">= 100,000 sqft",Pre-1915,131,STATE,ST,,2109.0,1910.0,13631,138172.0,125124.0,125124.0,11.0,1.0,94.0,,,13,13,RC,RC,Multiple Use Property,Res/Commercial Use,N,N,TISHMAN SPEYER ARCHSTONE-,A,A,f,t,t,t,25025030300.0,678.0,310.0,1001.0,831.0,1832.0,884.0,2185.21,13.91625616,6.362889984,20.54597701,17.05665025,37.60262726,18.14449918,44.852422,631.0,24.10236822,f,f,f,f,f,f,f,f,f,f,f,f,0,f,f,t,f,f,f,f,f,f,f,f,t,2,42.35913867,-71.05419059,Boston,2109.0,"42.3591386733549, -71.0541905891362","1 India St # 9I, Boston, MA 02109",,42.3591386733549,-71.0541905891362
